"keys","en"
"开：朝鼠标指的位置放大；关：以屏幕中心缩放。","On: zoom toward the mouse; off: zoom to screen center."
"弓兵 单向","Archer single-dir"
"弓兵（弓·远程）","Archer (bow · ranged)"
"弓箭伤害","Arrow Damage"
"当前武器","Current Weapon"
"性能","Performance"
"性能优先","Performance First"
"恢复均衡","Clear Preset"
"恢复默认","Restore Defaults"
"恢复默认设置","Restore Defaults"
"悬停界面时不滚","Don't Pan Over UI"
"成就","Achievements"
"打印状态机切换","Log State Changes"
"打开存档目录","Open Save Folder"
"执行","Run"
"把 1920×1080 的设计分辨率映射到实际窗口。像素画想要锐利选「整张放大」，UI 文字要清晰选「等比放大」。改完立刻生效。","Maps the 1920×1080 design resolution onto the real window. ""Viewport"" for crisp pixels, ""Canvas Items"" for crisp UI text. Applies immediately."
"把资源点/装饰/敌人数量与视野等一次性降到流畅档。开局明显掉帧时用；会改变本局体感，但不动出厂配置。","Drops loot/decor/enemy counts and vision to a smooth tier at once. Use when runs stutter; changes the feel but never touches factory config."
"把这一项恢复成出厂值（点「确认应用」后生效）","Reset this item to the factory value (takes effect after Apply)"
"拉伸变形","Ignore (stretch)"
"按任意键…（ESC 取消）","Press any key… (ESC to cancel)"
"按窗口与地图尺寸收紧缩放下限，避免缩出一片白边。","Tightens the zoom floor to map/window size to avoid empty borders."
"接入位置","Where to hook in"
"近战伤害","Enemy Melee Damage"
"近战射程","Melee Range"
"出手间隔","Attack Interval"
"推到最近时的倍数。","Closest zoom level."
"撕裂就开，输入延迟高就关。上限与「帧率上限」冲突时取较小者。","On if you see tearing, off for lower input lag. When both cap the rate, the lower one wins."
"撤离点数量","Extraction Points"
"操作","Controls"
"操作说明（当前只散在 main.gd 的注释里）、核心循环讲解（搜刮 → 撤离 → 局外养成 → 再出发）、若干张示意图。","Controls (currently scattered in main.gd comments), core loop walkthrough (loot → extract → meta upgrades → repeat), and a few diagrams."
"改动先暂存，点右下「确认应用」才生效并保存 · 标「下次进局」的项要重新进一局才读到","Changes are staged; click Apply (bottom right) to save & take effect · items marked ""next run"" need a new run to load"
"攻击没有键位 —— 2026-09-17 起战斗全自动：敌人进入「观察视野 ∩ 攻击距离」就自动起手，够不着的不会追。想关掉去「玩法」页的自动战斗开关。","Attacks have no key binding — combat is fully automatic since 2026-09-17: enemies entering ""vision ∩ attack range"" are engaged automatically, never chased. Toggle Auto Combat on the ""Gameplay"" page to disable."
"放大后倒计时/饥饿/撤离点调度都跟着加速，但玩家移动速度不变 —— 用来快速过一遍长局。","Speeds up countdown / hunger / extraction scheduling; player movement is unchanged — for fast-forwarding long runs."
"放弃并返回","Discard & Go Back"
"放弃未确认的修改？","Discard unapplied changes?"
"敌人","Enemies"
"敌人 AI 活跃半径（格）","Enemy AI Radius (cells)"
"敌人判断能否看见玩家时，沿视线每隔多远采一个墙格。越大越省、越粗糙（默认 0.35）。墙后视野判定会变松。","How far apart wall samples are taken along a sight line. Bigger = cheaper & coarser (default 0.35); wall checks get looser."
"敌人数量","Enemy Count"
"教程 / 帮助","Help"
"数据：Scripts/meta_progression.gd 的 bank / upgrade_levels 同级加 stats；界面：复制本文件的结构，把右侧详情换成图表/列表。","Data: add stats beside bank / upgrade_levels in Scripts/meta_progression.gd. UI: copy this file's structure and swap the detail pane for charts/lists."
"数据：新建 Data/achievements.json；钩子挂在 RunManager 的结算与 enemy.gd / loot_node.gd 的事件上；存档写进槽的 stats 节点。","Data: create Data/achievements.json; hooks on RunManager settle and enemy.gd / loot_node.gd events; stored in the slot's stats node."
"整图叠一层大尺度明暗。关掉画面更平，但能确认地形问题不是它造成的。","Adds a large-scale light/shadow pass over the map. Off = flatter look; useful to prove terrain issues aren't caused by it."
"整图对比度/亮度/饱和度的后处理。","Full-map contrast/brightness/saturation post-processing."
"整张放大（像素锐利）","Viewport (crisp pixels)"
"文件位置","File Locations"
"文案可放在 Data/help.md 或做成多页 Label；操作说明建议直接从 config 的键位读，跟「参数配置 → 操作」联动。","Copy can live in Data/help.md or multi-page Labels; controls should read straight from the config keys, synced with ""Settings → Controls""."
"新建","New"
"新建 Data/credits.md 或直接做成静态多页文本；素材来源同时记在 docs/DESIGN.md 的「缺失素材清单」章里。","Create Data/credits.md or a static multi-page text; asset sources are also tracked in docs/DESIGN.md under ""missing assets""."
"新建存档","New Save"
"无边框","Borderless"
"无边框 = 铺满屏幕且没有标题栏。全屏/无边框下分辨率设置不生效。","Borderless = fills the screen without a title bar. Resolution is ignored in Fullscreen/Borderless."
"早期 48px","Early 48px"
"明暗强度","Light Strength"
"显示视野倍数提示","Show Zoom Indicator"
"更多降配项已在各页：资源点密度、敌人 / 中立数量、装饰密度在「玩法」页；宏观明暗层、画面调色、帧率上限、垂直同步在「画面」页顶部。","More low-spec options live on other pages: loot density, enemy / animal counts and decor density on ""Gameplay""; macro light, color grading, FPS cap and V-Sync at the top of ""Display""."
"最低可达率","Min Reachable Ratio"
"最大放大倍数","Max Zoom"
"最小放大倍数","Min Zoom"
"未使用","Unused"
"未确认","Pending"
"未绑定","Unbound"
"枪手 8 向","Lancer 8-dir"
"枪手（长枪·近战）","Lancer (spear · melee)"
"树/石/灌木/碎石的总体倍率。","Overall multiplier for trees/rocks/bushes/rubble."
"树木","Trees"
"森林","Forest"
"槽 %d「%s」里已有进度：
%s

覆盖后这些内容将全部丢失，确定吗？","Slot %d ""%s"" already has progress:
%s

Overwriting loses all of it. Continue?"
"每支箭的伤害。敌人默认 40 生命，20 伤害 = 两箭一只。","Damage per arrow. Enemies have 40 HP by default: 20 damage = two arrows each."
"每档步长","Zoom Step"
"每种资源在每个群系放「簇数」个相连簇，每簇格数 = 该群系的 weight。weight 同时决定「最小聚合格数」和「各群系之间的总量比例」（0 = 该群系不出这种）。全部下次生成地图才生效。","Each resource places ""count"" connected clusters per biome; cluster size = that biome's weight. Weight also sets the min cluster size and each biome's share (0 = none of this resource there). Everything applies on map regen."
"每群系簇数","Clusters per Biome"
"每过这么久按 survival.supplies 逐项扣一次物资。缺哪种就按配置降哪种属性，补上立刻还原（不会把人耗死）。","Every this many seconds, drain supplies per survival.supplies. Missing supplies lower the matching stat and restoring them restores it (never lethal)."
"每隔多久重扫一次附近敌人（秒）。越小索敌越灵敏、开销越大。","How often nearby enemies are re-scanned (sec). Lower = more responsive but costlier."
"沼泽","Swamp"
"清掉「性能优先」写下的全部用户层覆盖，回到 Data/config.json 的出厂值。","Removes every override written by ""Performance First"", back to the factory values in Data/config.json."
"清除降配","Clear Low-Spec"
"滚一格缩放多少。进/出互为倒数，来回滚不会漂移。下次进局生效。","How much each wheel notch zooms. In/out are reciprocal so it never drifts. Applies next run."
"滚屏速度倍率","Pan Speed Multiplier"
"滚轮方向反向","Invert Wheel"
"滚轮时右下角淡入的「视野 ×N」，松手 1.5 秒后自动淡出。","The ""Zoom ×N"" hint at bottom-right while scrolling; fades out 1.5s after release."
"滚轮缩放","Zoom"
"物资消耗间隔","Supply Drain Interval"
"玩家与战斗","Player & Combat"
"玩家视野半径（格）","Player Vision Radius (cells)"
"玩家贴图集（近战用）","Player Sprite Set (melee)"
"玩法","Gameplay"
"用户设置（本页改的所有值）：user://settings.json
存档槽：user://saves/slot_NN.json
旧版单槽存档：user://save.json（未删，仍被不用菜单的入口读取）","User settings (everything edited here): user://settings.json
Save slots: user://saves/slot_NN.json
Legacy single save: user://save.json (kept; still read by non-menu entry points)"
"画面","Display"
"画面 / 音频 / 玩法 / 操作 / 语言","Display / Audio / Gameplay / Controls / Language"
"画面缩放","Scaling"
"画面调色","Color Grading"
"界面语言","Interface Language"
"直接遍历 Config.get_value(""enemy_types.types"") 等数组生成列表；「是否见过」需要新增一个 seen 集合存进存档槽。","Iterate arrays like Config.get_value(""enemy_types.types"") to build the list; ""seen"" needs a new set stored in the save slot."
"相对「相机平移速度」的倍率，1.0 = 与按 WASD 同速。","Multiplier over Camera Pan Speed; 1.0 = same speed as WASD."
"相机","Camera"
"相机回到玩家","Camera to Player"
"相机平移速度","Camera Pan Speed"
"石头","Rocks"
"确定删除槽 %d「%s」？
此操作不可撤销。","Delete slot %d ""%s""?
This cannot be undone."
"确认应用","Apply"
"移动速度","Move Speed"
"空槽","Empty"
"窗口","Window"
"窗口不是 16:9 时怎么补。只在「缩放模式」不是「不缩放」时有意义。","How to handle non-16:9 windows. Only meaningful when Scale Mode isn't ""None""."
"窗口化","Windowed"
"窗口模式","Window Mode"
"等比放大（UI 清晰）","Canvas Items (crisp UI)"
"简体中文","简体中文"
"索敌间隔","Targeting Interval"
"累计局数、撤离成功率、死亡次数、总共拾取的各类资源、最远移动距离、平均每局时长。数据来源是 Meta 的存档槽 —— 需要给槽加一个 stats 节点，在 RunManager 结算（撤离/死亡/超时）时累加。","Runs, extraction success rate, deaths, resources looted by type, longest travel, average run time. Data comes from the Meta save slot — add a stats node to the slot, accumulated by RunManager on settle (extract / death / timeout)."
"给 %d 号槽起个名字：","Name for slot %d:"
"给无头回归用的。注意：从菜单点进游戏时会被临时压掉（菜单要落在基地），所以在菜单里改这项不影响菜单启动。","For headless regression. Note: temporarily suppressed when launching from the menu (the menu must land at the base)."
"统计","Stats"
"缩到底时整图入画","Fit Map at Min Zoom"
"缩到最远时的倍数（0.35 ≈ 视野宽 2.9 倍）。实际下限还会按地图/窗口尺寸收敛，保证整张地图能装下。","Zoom-out limit (0.35 ≈ 2.9× wider view). The actual floor adapts to map/window size so the whole map fits."
"缩放平滑速度","Zoom Smoothing"
"缩放模式","Scale Mode"
"美术资源署名。注意这份清单是「许可合规」的一部分，不能省：Tiny Swords (Free Pack) — Pixel Frog，CC0。后续每引入一份 CC0/CC-BY 素材都要登记。","Art asset attribution. This list is a license-compliance must: Tiny Swords (Free Pack) — Pixel Frog, CC0. Register every new CC0/CC-BY asset here."
"能看见多远。实际攻击距离取「武器射程与观察视野的较小值」，所以调小它等于同时削所有武器的射程；设计上应大于攻击距离。","How far you can see. Effective range = min(weapon range, vision), so lowering this nerfs every weapon; keep it above attack range."
"自动战斗","Auto Combat"
"自动验证槽","Auto-test slot"
"自适应","Adaptive"
"草地","Grassland"
"荒原","Wasteland"
"菜单栏高度占比","Menu Bar Height"
"菜单界面语言切换：中文 / English，与「参数配置 → 语言」共用同一个配置键。","Menu interface language: Chinese / English, sharing the same config key as ""Settings → Language""."
"蒸汽朋克：废墟提取","SteamPunk: Ruin Extraction"
"装饰密度","Decor Density"
"装饰投影","Decor Shadows"
"装饰碰撞","Decor Collision"
"覆盖","Overwrite"
"覆盖存档","Overwrite Save"
"观察视野（格）","Vision Radius (cells)"
"视线采样步长（格）","LOS Sample Step (cells)"
"视野与迷雾（下次进局生效）","Vision & Fog (applies next run)"
"视野（格）","Vision (cells)"
"触发边距","Edge Margin"
"语言","Language"
"语言切换本身已经能用，在「参数配置 → 语言」里，但目前只是存值、没有翻译表，选了不会改变界面文字。","Language switching works via ""Settings → Language""; the whole menu UI switches between Chinese and English on Apply."
"语言已接入 i18n：菜单与各面板支持简体中文 / English，下拉选择后点「确认应用」整体切换。","i18n is wired up: the menu and its panels support Simplified Chinese / English. Pick one and click Apply to switch."
"读取已有存档继续游戏","Continue from an existing save"
"调试","Debug"
"调试项：影响的是开发期行为，不是游戏平衡。发布前建议恢复默认。","Debug items: dev-time behavior only, no game balance. Restore defaults before shipping."
"资源","Resources"
"资源 %d 种 / 共 %d · 升级 %d 级","%d resource types / %d items · upgrades %d"
"资源点密度","Loot Density"
"超出此半径的敌人休眠，不跑状态机与视线检测 —— 地图大、敌人多时最省 CPU 的一档（默认 32）。调小远处敌人反应会变迟钝。","Enemies beyond this radius sleep (no state machine / LOS checks). The biggest CPU saver on big, crowded maps (default 32). Lower = slower faraway reactions."
"越大越跟手；0 = 滚一档立刻到位。","Higher = snappier; 0 = instant per notch."
"距窗口边缘多少像素内算「贴边」。开画面缩放时视口恒为 1920×1080，24 ≈ 短边 2.2%。","How close to the edge counts as ""at the edge"". With scaling on, the viewport is always 1920×1080; 24 ≈ 2.2% of the short side."
"跳过基地直接进局","Skip Base, Enter Run"
"边缘滚屏","Edge Panning"
"近战攻击伤害","Melee Damage"
"返回","Back"
"这一页全部是「下次进局」才读到的键 —— 改完请重新进一局。","Every key on this page is read at the start of a run — start a new run after changing."
"这一页是「降配提速」的开关。生效时机各不同：AI 活跃半径、视线步长每帧读取，改完下一帧即见效；视野半径、资源点/装饰/敌人数量、投影、明暗调色要在设置里改完后重新进一局 / 重新生成地图才读到。","""Lower specs, more speed"" switches. Timing varies: AI radius & LOS step are read every frame (instant); vision radius, loot/decor/enemy counts, shadows, lighting & grading need a new run / map regen."
"进入","Enter"
"进食","Eat"
"迷雾揭示半径，也是敌人 / 资源点的可见范围。每帧揭示面积随半径平方增长，调小可减负，但缩短可视距离（默认 10，硬核向不建议太小）。","Fog reveal radius; also how far enemies / loot can be spotted. Revealed area grows with r², so lower = cheaper but shorter sight (default 10; not recommended too small for hardcore play)."
"退出游戏","Quit"
"选择一个存档继续游戏","Pick a save to continue"
"选择一个空槽存档；已有存档会被覆盖（会二次确认）","Pick an empty slot to save; existing saves get overwritten (with confirmation)"
"野羊，打死掉食物。","Wild goats; kill them for food."
"钢铁","Iron"
"锁宽度","Keep Width"
"锁高度","Keep Height"
"键位一律用「物理键码」记录（与游戏内消费端一致），所以非 QWERTY 键盘也不会错位。点按钮后按任意键即可改；ESC 取消。","Keys are stored as physical keycodes (same as the game reads), so non-QWERTY layouts never desync. Click a button then press any key; ESC cancels."
"键码 %d","Key %d"
"闪避","Dodge"
"闪避冷却","Dodge Cooldown"
"静音","Mute"
"音乐","Music"
"音效","SFX"
"音频","Audio"
"项目目前还没有接入音频资源，这几项属于提前把线接好：改动会即时作用到对应的 AudioBus（Music / SFX 总线不存在时自动创建）。","No audio assets are wired up yet; these pre-wire the buses. Changes apply instantly to their AudioBus (Music / SFX buses are created if missing)."
"风格化（下次生成地图生效）","Stylization (applies on map regen)"
"饱和度","Saturation"
"魔法油潭","Oil Pools"
"默认","Default"
"默认「不限」。笔记本想降温省电选 60。改成下拉是为了不再出现「拖到 1 帧把游戏卡死」的情况。上限与垂直同步冲突时取较小者。","Default ""Uncapped"". Pick 60 on laptops to stay cool. It's a dropdown so you can no longer drag it to 1 FPS and freeze the game. When both cap the rate, the lower one wins."
"鼠标停在按钮/面板上时不滚，避免点界面顺手把画面带走。","No scrolling while the cursor hovers buttons/panels."
"鼠标贴到窗口边，画面就往那个方向滚（RTS 手感）。窗口失去焦点时不滚。","Push the mouse against the window edge to scroll (RTS feel). Off while the window is unfocused."
"（未接线）"," (not wired)"
"进入游戏失败：%s（err=%d）","Failed to enter game: %s (err=%d)"
"王国废墟：拾荒撤离","Kingdom Ruins: Scavenge & Extract"
"开发版 · Tiny Swords 2D 线","Dev Build · Tiny Swords 2D line"
"ESC 返回上一级 · 设置改动即时保存到 user://settings.json","ESC back · settings save instantly to user://settings.json"
"确认应用后界面文字整体切换；数据存进 user://settings.json。","Click Apply to switch the whole UI; the choice is stored in user://settings.json."
